distribution_id	claim_tx	nullifier
b100000000000000000000000000000000000000000000000000000000000001	1bb9f36ccf24782f6de4f5c89a00d5c583be2f2a06230f7a503283ee78cd9d8f	e96fdfecee5cc7c015b67f33055510153349fc19d84da7f83a80f545f4d92f11
b100000000000000000000000000000000000000000000000000000000000001	3b797044ce116df35cb8298ba81b054ab0d8a8a2b4da0cb85d09c44aae8a5313	32be95b559134d41b3f9733282e74eac371a1c2375c5ae3394366ed9ce6e4b34
b100000000000000000000000000000000000000000000000000000000000001	40c87619f39f047b9978a2d184378b3ff67dc0216e9295a412a91c63df48ea93	10ab4f49cb13b886328fa38123c085ecc362ba69a39b35fc9507544fdd58171d
b100000000000000000000000000000000000000000000000000000000000001	59da6ce3fb1c437d3df487d5955be3a98cad0c194f4bb03c87f3a31f48862345	5ee0d049cd728add535e460870727cd6b49f28eaf68dd8c3bf1b146187a1152b
b100000000000000000000000000000000000000000000000000000000000001	5cb5148572e92cced712a1e5af756b9f3e9b886e284c12f21324c6c8e5c0f9a0	dac661f3cf147e7cc3e88bf340e183702542bdb9c1756bccf21b86cab66ee96d
b100000000000000000000000000000000000000000000000000000000000001	7ff79219a6c0f01dca7e16f8901156aa786a6779b2f689ca86670c4f71546cc2	706cd4ec5af28e4ba93e28dff8f7030564140b8266baf87141a59fde7023d86e
b100000000000000000000000000000000000000000000000000000000000001	8bc67f234041333cb1f4d45ebe298bb4501b4cb6ee8efdb25f0fd08497210a24	0539b38fee3a863c959994df8bba9ad6a6c09ebaae8650e18442775238f2082e
b100000000000000000000000000000000000000000000000000000000000001	90659bf83088ddb20d8d80fbd6961b1982b512b70cfc21d313b4e5fcf65edb33	cfda93e9d60373da6db4eb678388fdef00037da77abe610960e615c690746af2
b100000000000000000000000000000000000000000000000000000000000001	e48610ed4a72bf7f111d420ce593cddf9aafc9dc76aded67f5b2f66264f6a338	a9ffa9e8847e9dac34602f780a20cc40604d036150c01a5b716247d600a85865
b100000000000000000000000000000000000000000000000000000000000001	ffd5d410a1c85e6d8ad775bf66694e1529e118039f8b49c0d2a4ab3601e3cb2b	61f19e0eddb051ec9c472e662b27c4cc5640d16c0c1511fc138c67f2dba7244c
b200000000000000000000000000000000000000000000000000000000000002	5ee1526f0c23029c1ed3c82df9c8313804467f4154a047dde9d8d6ec01aff5ff	e36c5572262492bd5bdd274658042eba9e110518bbcf1d52153e9509070498a1
b200000000000000000000000000000000000000000000000000000000000002	713d9e3df84f59e9331b1bc91b844ac178da84c9f59c5366a28f32e5951ad446	1afe1a3c661e16fef4fa26876aa1bc86bec74658d136505b65ab0c40e8522314
b200000000000000000000000000000000000000000000000000000000000002	86848a8bca0dad23dad8583616c442a3a3f32564ae11805ad04b60aad6967ac5	605b997772873c93e644e8782c584e81e3f754104550bb1dd9d7a469c4cd2032
b200000000000000000000000000000000000000000000000000000000000002	9eb8e194ef6366d1f518b6894c1134758792bec6f0f7c888f797b4685c949f6a	102dfa048d7bc1c0dc66dac2c5cb6d73c0e1f80c919051bde7a45f0930c11d61
b200000000000000000000000000000000000000000000000000000000000002	9f796bca67f26b641d7131918c03c7f07024525d8a8e7fe9d2c349f983a66491	99bdc43f5af2c9df95d77f60be2da35f7678be7dba78fb1616ab4f6d5ddc0c02
b200000000000000000000000000000000000000000000000000000000000002	c6c05fc5b9c2b65f3443a2671ff88cf2384cd8819c0277ab015439f160c23289	5124a5ed05269e793b4948630c98f7145b2fcd9a22e029594f085e8bb7d2213e
b200000000000000000000000000000000000000000000000000000000000002	d164b2095efb4610b29e624e31b769bbdf4246ba7a7213b9748fe66f638b0baf	2ce34da8c9a46c35107628c6d211f7ba3e3a9d198bfb58ba2e6a24008a70dc2e
d400000000000000000000000000000000000000000000000000000000000004	1d78e750d2a17904befb08ad7d5ca32d3344e50595c016e0aff80e74aa2f1706	427549fca0a139da8beb3c57d6f33b9b34d8c96f3417bf8f741d951a4039ab61
d400000000000000000000000000000000000000000000000000000000000004	50a1abe3d98b7996bcffceb2f9843db44b1ad4ca028912202bac68b553b7cbe2	a42d38e5a006e9d51d555dde5a369ccf07055d8dc9595c8dd5be499a99a3cde4
d400000000000000000000000000000000000000000000000000000000000004	93507b51ef93317a3b619997b4b8fc4f67ccc55d15f443f979a98924d762a6d9	bac496464ca683a31688b16cdb8723418bebba25336799dac0522664b40431b8
d400000000000000000000000000000000000000000000000000000000000004	9373658aded99f250db8a5edc20ff4460251b10241f7046f42b800cc1fcdb639	1df0885143c8eefc0714c7335aba856ebb1d5909ccd4188cf77eceb3b1710d5a
d400000000000000000000000000000000000000000000000000000000000004	c51a0cdbd9d6d8d37a4d9cdf078480f130989c80eaf8c95c4d50aecf0d6072fa	e94a7bb5e1fe2140b03f2c0a04aa28b24d0e05c3e1519cd19f0a3c6debdada99
d400000000000000000000000000000000000000000000000000000000000004	ff51f747e884eaa9d3b1c8141a130ace706a36dbae36003b4afe5f403daac388	86bac4ca4ab08cffeb28e54773b7ee94d8d6f5ea12f2f4ee07882d7fa0dcc1c1
